algorithm,fee_total_sats,weight_used,fill_ratio,tx_count,runtime_ms,params
greedy,144623,999985,1,828,0.21,"{""type"":""greedy""}"
sa,144623,999985,1,828,96.61,"{""type"":""sa"",""seed"":42,""maxIterations"":20000,""run"":1}"
sa,144623,999985,1,828,122.18,"{""type"":""sa"",""seed"":43,""maxIterations"":20000,""run"":2}"
sa,144623,999985,1,828,90.06,"{""type"":""sa"",""seed"":44,""maxIterations"":20000,""run"":3}"
sa,144623,999985,1,828,90.43,"{""type"":""sa"",""seed"":45,""maxIterations"":20000,""run"":4}"
sa,144623,999985,1,828,85.63,"{""type"":""sa"",""seed"":46,""maxIterations"":20000,""run"":5}"
sa,144623,999985,1,828,94.65,"{""type"":""sa"",""seed"":47,""maxIterations"":20000,""run"":6}"
sa,144623,999985,1,828,83.77,"{""type"":""sa"",""seed"":48,""maxIterations"":20000,""run"":7}"
sa,144623,999985,1,828,98.59,"{""type"":""sa"",""seed"":49,""maxIterations"":20000,""run"":8}"
sa,144623,999985,1,828,84.52,"{""type"":""sa"",""seed"":50,""maxIterations"":20000,""run"":9}"
sa,144623,999985,1,828,85.47,"{""type"":""sa"",""seed"":51,""maxIterations"":20000,""run"":10}"
sa,144623,999985,1,828,90.76,"{""type"":""sa"",""seed"":52,""maxIterations"":20000,""run"":11}"
sa,144623,999985,1,828,98.03,"{""type"":""sa"",""seed"":53,""maxIterations"":20000,""run"":12}"
sa,144623,999985,1,828,84.18,"{""type"":""sa"",""seed"":54,""maxIterations"":20000,""run"":13}"
sa,144623,999985,1,828,86.34,"{""type"":""sa"",""seed"":55,""maxIterations"":20000,""run"":14}"
sa,144623,999985,1,828,86.1,"{""type"":""sa"",""seed"":56,""maxIterations"":20000,""run"":15}"
sa,144623,999985,1,828,93.06,"{""type"":""sa"",""seed"":57,""maxIterations"":20000,""run"":16}"
sa,144623,999985,1,828,87.57,"{""type"":""sa"",""seed"":58,""maxIterations"":20000,""run"":17}"
sa,144623,999985,1,828,84.09,"{""type"":""sa"",""seed"":59,""maxIterations"":20000,""run"":18}"
sa,144623,999985,1,828,104.7,"{""type"":""sa"",""seed"":60,""maxIterations"":20000,""run"":19}"
sa,144623,999985,1,828,83.3,"{""type"":""sa"",""seed"":61,""maxIterations"":20000,""run"":20}"
sa,144623,999985,1,828,85.53,"{""type"":""sa"",""seed"":62,""maxIterations"":20000,""run"":21}"
sa,144623,999985,1,828,87.91,"{""type"":""sa"",""seed"":63,""maxIterations"":20000,""run"":22}"
sa,144623,999985,1,828,115.31,"{""type"":""sa"",""seed"":64,""maxIterations"":20000,""run"":23}"
sa,144623,999985,1,828,88.85,"{""type"":""sa"",""seed"":65,""maxIterations"":20000,""run"":24}"
sa,144623,999985,1,828,98.21,"{""type"":""sa"",""seed"":66,""maxIterations"":20000,""run"":25}"
sa,144623,999985,1,828,86.3,"{""type"":""sa"",""seed"":67,""maxIterations"":20000,""run"":26}"
sa,144623,999985,1,828,89.56,"{""type"":""sa"",""seed"":68,""maxIterations"":20000,""run"":27}"
sa,144623,999985,1,828,89.88,"{""type"":""sa"",""seed"":69,""maxIterations"":20000,""run"":28}"
sa,144623,999985,1,828,85.52,"{""type"":""sa"",""seed"":70,""maxIterations"":20000,""run"":29}"
sa,144623,999985,1,828,87.04,"{""type"":""sa"",""seed"":71,""maxIterations"":20000,""run"":30}"
fptas,144396,999991,1,184,105.54,"{""type"":""fptas"",""epsilon"":0.1}"
