algorithm,fee_total_sats,weight_used,fill_ratio,tx_count,runtime_ms,params
greedy,144623,999985,1,828,0.22,"{""type"":""greedy""}"
sa,144623,999985,1,828,92.57,"{""type"":""sa"",""seed"":42,""maxIterations"":20000,""run"":1}"
sa,144623,999985,1,828,119.42,"{""type"":""sa"",""seed"":43,""maxIterations"":20000,""run"":2}"
sa,144623,999985,1,828,83.42,"{""type"":""sa"",""seed"":44,""maxIterations"":20000,""run"":3}"
sa,144623,999985,1,828,83,"{""type"":""sa"",""seed"":45,""maxIterations"":20000,""run"":4}"
sa,144623,999985,1,828,82.73,"{""type"":""sa"",""seed"":46,""maxIterations"":20000,""run"":5}"
sa,144623,999985,1,828,109.75,"{""type"":""sa"",""seed"":47,""maxIterations"":20000,""run"":6}"
sa,144623,999985,1,828,82.87,"{""type"":""sa"",""seed"":48,""maxIterations"":20000,""run"":7}"
sa,144623,999985,1,828,95.5,"{""type"":""sa"",""seed"":49,""maxIterations"":20000,""run"":8}"
sa,144623,999985,1,828,82.89,"{""type"":""sa"",""seed"":50,""maxIterations"":20000,""run"":9}"
sa,144623,999985,1,828,83.13,"{""type"":""sa"",""seed"":51,""maxIterations"":20000,""run"":10}"
sa,144623,999985,1,828,87.64,"{""type"":""sa"",""seed"":52,""maxIterations"":20000,""run"":11}"
sa,144623,999985,1,828,94.84,"{""type"":""sa"",""seed"":53,""maxIterations"":20000,""run"":12}"
sa,144623,999985,1,828,81.93,"{""type"":""sa"",""seed"":54,""maxIterations"":20000,""run"":13}"
sa,144623,999985,1,828,83.19,"{""type"":""sa"",""seed"":55,""maxIterations"":20000,""run"":14}"
sa,144623,999985,1,828,83.72,"{""type"":""sa"",""seed"":56,""maxIterations"":20000,""run"":15}"
sa,144623,999985,1,828,89.09,"{""type"":""sa"",""seed"":57,""maxIterations"":20000,""run"":16}"
sa,144623,999985,1,828,84.91,"{""type"":""sa"",""seed"":58,""maxIterations"":20000,""run"":17}"
sa,144623,999985,1,828,82.71,"{""type"":""sa"",""seed"":59,""maxIterations"":20000,""run"":18}"
sa,144623,999985,1,828,104.13,"{""type"":""sa"",""seed"":60,""maxIterations"":20000,""run"":19}"
sa,144623,999985,1,828,83.09,"{""type"":""sa"",""seed"":61,""maxIterations"":20000,""run"":20}"
sa,144623,999985,1,828,83.51,"{""type"":""sa"",""seed"":62,""maxIterations"":20000,""run"":21}"
sa,144623,999985,1,828,83.64,"{""type"":""sa"",""seed"":63,""maxIterations"":20000,""run"":22}"
sa,144623,999985,1,828,88.16,"{""type"":""sa"",""seed"":64,""maxIterations"":20000,""run"":23}"
sa,144623,999985,1,828,84.3,"{""type"":""sa"",""seed"":65,""maxIterations"":20000,""run"":24}"
sa,144623,999985,1,828,91.21,"{""type"":""sa"",""seed"":66,""maxIterations"":20000,""run"":25}"
sa,144623,999985,1,828,82.23,"{""type"":""sa"",""seed"":67,""maxIterations"":20000,""run"":26}"
sa,144623,999985,1,828,83.24,"{""type"":""sa"",""seed"":68,""maxIterations"":20000,""run"":27}"
sa,144623,999985,1,828,87.41,"{""type"":""sa"",""seed"":69,""maxIterations"":20000,""run"":28}"
sa,144623,999985,1,828,83.54,"{""type"":""sa"",""seed"":70,""maxIterations"":20000,""run"":29}"
sa,144623,999985,1,828,84.5,"{""type"":""sa"",""seed"":71,""maxIterations"":20000,""run"":30}"
fptas,144396,999991,1,184,104.69,"{""type"":""fptas"",""epsilon"":0.1}"
