algorithm,fee_total_sats,weight_used,fill_ratio,tx_count,runtime_ms,params
sa,94365,229355,0.2294,957,171.31,"{""type"":""sa"",""seed"":42,""maxIterations"":20000,""run"":1}"
sa,94365,229355,0.2294,957,162.68,"{""type"":""sa"",""seed"":43,""maxIterations"":20000,""run"":2}"
sa,94365,229355,0.2294,957,157.38,"{""type"":""sa"",""seed"":44,""maxIterations"":20000,""run"":3}"
sa,94365,229355,0.2294,957,155.05,"{""type"":""sa"",""seed"":45,""maxIterations"":20000,""run"":4}"
sa,94365,229355,0.2294,957,156.83,"{""type"":""sa"",""seed"":46,""maxIterations"":20000,""run"":5}"
sa,94365,229355,0.2294,957,170.64,"{""type"":""sa"",""seed"":47,""maxIterations"":20000,""run"":6}"
sa,94365,229355,0.2294,957,155.16,"{""type"":""sa"",""seed"":48,""maxIterations"":20000,""run"":7}"
sa,94365,229355,0.2294,957,153.24,"{""type"":""sa"",""seed"":49,""maxIterations"":20000,""run"":8}"
sa,94365,229355,0.2294,957,156.48,"{""type"":""sa"",""seed"":50,""maxIterations"":20000,""run"":9}"
sa,94365,229355,0.2294,957,158.31,"{""type"":""sa"",""seed"":51,""maxIterations"":20000,""run"":10}"
sa,94365,229355,0.2294,957,156.7,"{""type"":""sa"",""seed"":52,""maxIterations"":20000,""run"":11}"
sa,94365,229355,0.2294,957,160.77,"{""type"":""sa"",""seed"":53,""maxIterations"":20000,""run"":12}"
sa,94365,229355,0.2294,957,158.75,"{""type"":""sa"",""seed"":54,""maxIterations"":20000,""run"":13}"
sa,94365,229355,0.2294,957,158.07,"{""type"":""sa"",""seed"":55,""maxIterations"":20000,""run"":14}"
sa,94365,229355,0.2294,957,156.47,"{""type"":""sa"",""seed"":56,""maxIterations"":20000,""run"":15}"
sa,94365,229355,0.2294,957,157.43,"{""type"":""sa"",""seed"":57,""maxIterations"":20000,""run"":16}"
sa,94365,229355,0.2294,957,156.1,"{""type"":""sa"",""seed"":58,""maxIterations"":20000,""run"":17}"
sa,94365,229355,0.2294,957,155.88,"{""type"":""sa"",""seed"":59,""maxIterations"":20000,""run"":18}"
sa,94365,229355,0.2294,957,154.71,"{""type"":""sa"",""seed"":60,""maxIterations"":20000,""run"":19}"
sa,94365,229355,0.2294,957,155.49,"{""type"":""sa"",""seed"":61,""maxIterations"":20000,""run"":20}"
sa,94365,229355,0.2294,957,152.84,"{""type"":""sa"",""seed"":62,""maxIterations"":20000,""run"":21}"
sa,94365,229355,0.2294,957,155.64,"{""type"":""sa"",""seed"":63,""maxIterations"":20000,""run"":22}"
sa,94365,229355,0.2294,957,157.69,"{""type"":""sa"",""seed"":64,""maxIterations"":20000,""run"":23}"
sa,94365,229355,0.2294,957,153.25,"{""type"":""sa"",""seed"":65,""maxIterations"":20000,""run"":24}"
sa,94365,229355,0.2294,957,155.46,"{""type"":""sa"",""seed"":66,""maxIterations"":20000,""run"":25}"
sa,94365,229355,0.2294,957,154.49,"{""type"":""sa"",""seed"":67,""maxIterations"":20000,""run"":26}"
sa,94365,229355,0.2294,957,154.61,"{""type"":""sa"",""seed"":68,""maxIterations"":20000,""run"":27}"
sa,94365,229355,0.2294,957,154.95,"{""type"":""sa"",""seed"":69,""maxIterations"":20000,""run"":28}"
sa,94365,229355,0.2294,957,154.53,"{""type"":""sa"",""seed"":70,""maxIterations"":20000,""run"":29}"
sa,94365,229355,0.2294,957,155.91,"{""type"":""sa"",""seed"":71,""maxIterations"":20000,""run"":30}"
